iter	Passed	Remaining
0	153	152965
1	153	76787
2	154	51365
3	155	38646
4	155	31015
5	156	25915
6	157	22283
7	157	19561
8	158	17438
9	158	15738
10	159	14341
11	160	13178
12	160	12195
13	161	11351
14	161	10620
15	162	9988
16	163	9425
17	163	8919
18	163	8467
19	164	8060
20	165	7693
21	165	7360
22	166	7056
23	166	6777
24	167	6520
25	167	6282
26	168	6061
27	168	5857
28	169	5666
29	169	5492
30	170	5326
31	170	5170
32	171	5023
33	172	4887
34	172	4759
35	173	4636
36	173	4520
37	174	4411
38	174	4307
39	175	4207
40	175	4113
41	176	4022
42	176	3937
43	177	3858
44	178	3781
45	178	3706
46	179	3635
47	179	3566
48	180	3500
49	180	3437
50	181	3376
51	181	3317
52	182	3261
53	183	3206
54	183	3154
55	184	3105
56	184	3056
57	185	3009
58	185	2965
59	186	2920
60	186	2877
61	187	2836
62	188	2797
63	188	2758
64	189	2724
65	190	2690
66	190	2659
67	191	2624
68	192	2592
69	192	2559
70	193	2528
71	193	2497
72	194	2467
73	194	2437
74	195	2411
75	196	2385
76	196	2358
77	197	2331
78	197	2306
79	198	2281
80	198	2256
81	199	2231
82	199	2205
83	200	2182
84	200	2160
85	201	2138
86	201	2117
87	202	2097
88	203	2078
89	203	2058
90	204	2038
91	204	2019
92	205	2001
93	205	1983
94	206	1965
95	206	1947
96	207	1929
97	207	1913
98	208	1896
99	208	1880
100	209	1864
101	210	1849
102	210	1833
103	211	1819
104	211	1804
105	212	1789
106	212	1775
107	213	1761
108	213	1747
109	214	1734
110	214	1721
111	215	1708
112	216	1696
113	216	1683
114	217	1670
115	217	1659
116	218	1646
117	218	1634
118	219	1623
119	219	1612
120	220	1603
121	221	1591
122	221	1581
123	222	1570
124	222	1559
125	223	1548
126	223	1537
127	224	1528
128	224	1518
129	225	1508
130	225	1498
131	226	1488
132	226	1479
133	227	1470
134	228	1461
135	228	1452
136	229	1443
137	229	1434
138	230	1425
139	230	1416
140	231	1408
141	231	1398
142	232	1390
143	232	1382
144	233	1374
145	233	1366
146	234	1359
147	234	1351
148	235	1344
149	235	1336
150	236	1329
151	236	1321
152	237	1314
153	237	1307
154	238	1300
155	239	1293
156	239	1286
157	240	1280
158	240	1273
159	241	1266
160	241	1258
161	242	1252
162	242	1245
163	243	1239
164	243	1233
165	244	1226
166	244	1220
167	245	1214
168	245	1208
169	246	1203
170	247	1197
171	247	1191
172	248	1185
173	248	1180
174	249	1174
175	249	1168
176	250	1163
177	250	1157
178	251	1152
179	251	1147
180	252	1142
181	253	1137
182	253	1132
183	254	1126
184	254	1121
185	255	1116
186	255	1111
187	256	1106
188	256	1101
189	257	1096
190	257	1092
191	258	1087
192	259	1083
193	259	1078
194	260	1073
195	260	1068
196	261	1064
197	261	1059
198	262	1055
199	262	1050
200	263	1046
201	263	1042
202	264	1037
203	264	1033
204	265	1030
205	266	1026
206	266	1022
207	267	1018
208	267	1013
209	268	1009
210	268	1005
211	269	1001
212	270	997
213	270	994
214	271	990
215	271	986
216	272	982
217	272	978
218	273	974
219	273	970
220	274	966
221	274	963
222	275	959
223	275	955
224	276	952
225	277	948
226	277	945
227	278	941
228	278	937
229	279	934
230	279	930
231	280	927
232	280	924
233	281	921
234	281	917
235	282	914
236	283	911
237	283	908
238	284	904
239	284	901
240	285	898
241	285	895
242	286	892
243	287	889
244	287	886
245	288	883
246	288	880
247	289	877
248	289	874
249	290	871
250	291	868
251	291	865
252	292	862
253	292	859
254	293	857
255	294	856
256	295	853
257	295	851
258	296	848
259	297	845
260	297	842
261	298	839
262	298	837
263	299	834
264	299	831
265	300	829
266	301	826
267	301	824
268	302	822
269	303	819
270	303	817
271	304	814
272	305	812
273	305	809
274	306	807
275	306	804
276	307	801
277	307	799
278	308	796
279	308	794
280	309	793
281	310	790
282	311	788
283	311	785
284	312	783
285	312	781
286	313	778
287	314	776
288	314	773
289	315	771
290	315	769
291	316	766
292	316	764
293	317	761
294	317	759
295	318	756
296	318	754
297	319	752
298	319	749
299	320	747
300	320	745
301	321	743
302	322	740
303	322	738
304	323	736
305	323	733
306	324	731
307	324	729
308	325	727
309	325	725
310	326	722
311	326	720
312	327	718
313	327	716
314	328	714
315	328	712
316	329	710
317	330	707
318	330	705
319	331	703
320	331	701
321	332	699
322	332	697
323	333	695
324	333	693
325	334	691
326	334	689
327	335	687
328	336	685
329	336	683
330	337	681
331	337	679
332	338	677
333	339	676
334	339	674
335	340	672
336	340	670
337	341	668
338	341	666
339	342	664
340	342	662
341	343	660
342	343	658
343	344	656
344	344	654
345	345	652
346	345	650
347	346	649
348	346	647
349	347	645
350	348	643
351	348	641
352	349	639
353	349	637
354	350	636
355	350	634
356	351	632
357	351	631
358	352	629
359	352	627
360	353	625
361	354	624
362	354	622
363	355	620
364	355	618
365	356	617
366	356	615
367	357	613
368	357	612
369	358	610
370	358	608
371	359	606
372	359	605
373	360	603
374	361	601
375	361	599
376	362	598
377	362	596
378	363	594
379	363	593
380	364	591
381	364	590
382	365	588
383	365	587
384	366	585
385	367	583
386	367	582
387	368	580
388	368	578
389	369	577
390	369	575
391	370	574
392	370	572
393	371	571
394	371	569
395	372	568
396	372	566
397	373	564
398	374	563
399	374	561
400	375	560
401	375	558
402	376	557
403	376	555
404	377	554
405	377	553
406	378	551
407	379	549
408	379	548
409	380	546
410	380	545
411	381	543
412	381	542
413	382	540
414	382	539
415	383	537
416	383	536
417	384	535
418	384	533
419	385	532
420	385	530
421	386	529
422	386	527
423	387	526
424	388	525
425	388	523
426	389	522
427	389	520
428	390	519
429	390	517
430	391	516
431	391	515
432	392	513
433	392	512
434	393	510
435	393	509
436	394	508
437	394	506
438	395	505
439	396	504
440	396	502
441	397	501
442	397	499
443	398	498
444	398	497
445	399	496
446	400	495
447	400	493
448	401	492
449	401	491
450	402	489
451	402	488
452	403	487
453	403	485
454	404	484
455	404	483
456	405	481
457	406	480
458	406	479
459	407	477
460	407	476
461	408	475
462	408	474
463	409	472
464	409	471
465	410	470
466	410	468
467	411	467
468	411	466
469	412	465
470	413	463
471	413	462
472	414	461
473	415	460
474	415	459
475	415	457
476	416	456
477	417	455
478	417	454
479	418	452
480	418	451
481	419	450
482	419	449
483	420	448
484	421	447
485	421	445
486	422	444
487	422	443
488	423	442
489	423	441
490	424	439
491	425	438
492	425	437
493	426	436
494	426	435
495	427	434
496	427	432
497	428	431
498	428	430
499	429	429
500	429	428
501	430	426
502	430	425
503	431	424
504	431	423
505	432	422
506	433	421
507	433	419
508	434	418
509	434	417
510	435	416
511	435	415
512	436	414
513	436	412
514	437	411
515	437	410
516	438	409
517	438	408
518	439	407
519	439	406
520	440	404
521	440	403
522	441	402
523	441	401
524	442	400
525	443	399
526	443	398
527	444	397
528	445	396
529	445	395
530	446	394
531	446	392
532	447	391
533	447	390
534	448	389
535	448	388
536	449	387
537	450	386
538	450	385
539	451	384
540	451	383
541	452	382
542	452	381
543	453	380
544	453	378
545	454	377
546	454	376
547	455	375
548	456	374
549	456	373
550	457	372
551	457	371
552	458	370
553	458	369
554	459	368
555	459	367
556	460	366
557	460	364
558	461	363
559	462	363
560	462	362
561	463	361
562	463	359
563	464	358
564	464	357
565	465	356
566	465	355
567	466	354
568	466	353
569	467	352
570	468	351
571	468	350
572	469	349
573	469	348
574	470	347
575	470	346
576	471	345
577	471	344
578	472	343
579	472	342
580	473	341
581	473	340
582	474	339
583	475	338
584	475	337
585	476	336
586	476	335
587	477	334
588	477	333
589	478	332
590	478	331
591	479	330
592	479	329
593	480	328
594	481	327
595	481	326
596	482	325
597	482	324
598	483	323
599	484	322
600	484	321
601	485	320
602	485	319
603	486	318
604	486	317
605	487	316
606	488	315
607	488	314
608	489	314
609	489	313
610	490	312
611	490	311
612	491	310
613	492	309
614	492	308
615	493	307
616	493	306
617	494	305
618	495	304
619	495	303
620	496	302
621	496	301
622	497	300
623	497	299
624	498	298
625	498	298
626	499	297
627	500	296
628	500	295
629	501	294
630	501	293
631	502	292
632	502	291
633	503	290
634	503	289
635	504	288
636	505	287
637	505	286
638	506	286
639	506	285
640	507	284
641	507	283
642	508	282
643	509	281
644	509	280
645	510	279
646	510	278
647	511	277
648	511	276
649	512	275
650	513	275
651	513	274
652	514	273
653	514	272
654	515	271
655	515	270
656	516	269
657	517	268
658	517	267
659	518	266
